name,orientation_grade,waster_grade,zoning_grade,overall_grade,o_lobby,o_multipurpose,o_terrace,o_activity,o_wc,o_storage,w_lobby,w_multipurpose,w_terrace,w_activity,w_wc,w_storage,z_lobby_lobby,z_lobby_multipurpose,z_lobby_terrace,z_lobby_activity,z_lobby_wc,z_lobby_storage,z_multipurpose_multipurpose,z_multipurpose_terrace,z_multipurpose_activity,z_multipurpose_wc,z_multipurpose_storage,z_terrace_terrace,z_terrace_activity,z_terrace_wc,z_terrace_storage,z_activity_activity,z_activity_wc,z_activity_storage,z_wc_wc,z_wc_storage,z_storage_storage
OE1,A,A-,A,A,0,0.409090909,0.318181818,0.272727273,0,0,0.116883117,0.233766234,0.054545455,0.348051948,0.12987013,0.116883117,0,1,0,2,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
OE2,B,A-,B,B,0,0.391304348,0.347826087,0.130434783,0,0.130434783,0.120603015,0.226130653,0.060301508,0.346733668,0.125628141,0.120603015,0,1,0,2,1,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0
OE3,C,A-,B-,B-,0.136363636,0.045454545,0.363636364,0,0.227272727,0.227272727,0.135638298,0.191489362,0.063829787,0.382978723,0.119680851,0.106382979,0,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
OE4,D,A-,A,D,0.086956522,0.043478261,0,0,0.434782609,0.434782609,0.118811881,0.222772277,0.059405941,0.351485149,0.123762376,0.123762376,0,1,0,2,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
OE5,F,C,B-,F,0.130434783,0,0.391304348,0,0.217391304,0.260869565,0.132124352,0.124352332,0.132124352,0.331606218,0.116580311,0.163212435,0,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
OE6,A-,A-,A,A,0,0.217391304,0.652173913,0.130434783,0,0,0.121518987,0.182278481,0.113924051,0.329113924,0.126582278,0.126582278,0,1,0,2,1,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0
OE7,A-,A-,B,A-,0,0.217391304,0.652173913,0.130434783,0,0,0.121518987,0.182278481,0.113924051,0.329113924,0.126582278,0.126582278,0,1,0,1,1,0,0,1,0,0,0,0,2,0,0,1,0,0,0,1,0
OE8,C-,A-,C,C,0.136363636,0.045454545,0.363636364,0,0.227272727,0.227272727,0.135638298,0.191489362,0.063829787,0.382978723,0.119680851,0.106382979,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
OE9,D-,A-,D,D,0.173913043,0.043478261,0.652173913,0,0.130434783,0,0.121518987,0.182278481,0.113924051,0.288607595,0.167088608,0.126582278,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0
OE10,D-,A-,F,F,0.173913043,0.043478261,0.652173913,0,0.130434783,0,0.121518987,0.182278481,0.113924051,0.288607595,0.167088608,0.126582278,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0
OE11,A,A,A,A,0,0.36,0.36,0.28,0,0,0.076335878,0.229007634,0.06870229,0.452926209,0.071246819,0.10178117,0,1,0,2,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
OE12,A,B,B,B,0,0.36,0.36,0.28,0,0,0.171837709,0.193317422,0.064439141,0.322195704,0.066825776,0.181384248,0,1,0,1,1,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0
OE13,A-,C,A,B,0,0.333333333,0.407407407,0.259259259,0,0,0.298876404,0.161797753,0.074157303,0.294382022,0.062921348,0.107865169,0,1,1,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
OE14,A-,D-,A,B,0,0,0.407407407,0.111111111,0.333333333,0.148148148,0.298876404,0.062921348,0.074157303,0.240449438,0.161797753,0.161797753,0,1,1,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
OE15,F,F,D-,F,0.074074074,0,0.481481481,0,0.333333333,0.111111111,0.281030445,0.06557377,0.161592506,0.163934426,0.18969555,0.138173302,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Tst_1,C,A-,A,B,0.157894737,0.526315789,0.052631579,0,0.263157895,0,0.118811881,0.222772277,0.059405941,0.351485149,0.123762376,0.123762376,0,1,0,2,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Tst_2,C,A-,A,B,0.157894737,0.421052632,0.157894737,0,0.263157895,0,0.121518987,0.182278481,0.113924051,0.329113924,0.126582278,0.126582278,0,1,0,2,1,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0
Tst_3,C-,A,A,B-,0,0.684210526,0.105263158,0,0,0.210526316,0.076335878,0.239185751,0.06870229,0.442748092,0.071246819,0.10178117,0,1,0,2,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
OE_Tst_1,A,D,A,C-,0.2,0.4,0.32,0.08,0,0,0.185185185,0.185185185,0.049382716,0.240740741,0.185185185,0.154320988,0,1,0,2,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
OE_Tst_2,B,C,B-,B,0,0.227272727,0.5,0,0,0.272727273,0.162162162,0.181818182,0.081081081,0.243243243,0.184275184,0.147420147,0,0,0,2,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
OE_Tst_3,C,A,C,C,0,0.136363636,0.227272727,0.454545455,0,0.181818182,0.123167155,0.316715543,0.04398827,0.33431085,0.08797654,0.093841642,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
OE_Tst_4,D,B,F,F,0.136363636,0.272727273,0.090909091,0,0.227272727,0.272727273,0.12,0.18,0.051428571,0.365714286,0.128571429,0.154285714,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
OE_Tst_5,F,F,D,F,0.130434783,0,0,0,0.434782609,0.434782609,0.211618257,0.093360996,0.143153527,0.219917012,0.165975104,0.165975104,0,0,0,1,1,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0
